Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS,TIM1/TIM8,TIM6/TIM7,TIM2/TIM3/TIM4/TIM5,I2C1/I2C2,SPI1/SPI2/SPI3,USART1/USART2/USART3,UART4/UART5,CAN1,USB,SDIO,,,,,,ADC
PortA,PA0,SYS_WKUP,TIM8_ETR,,TIM2_CH1_ETR/TIM5_CH1,,,USART2_CTS,,,,,,,,,EVENTOUT,ADC123_IN0
PortA,PA1,,,,TIM5_CH2/TIM2_CH2,,,USART2_RTS,,,,,,,,,EVENTOUT,ADC123_IN1
PortA,PA2,,,,TIM5_CH3/TIM2_CH3,,,USART2_TX,,,,,,,,,EVENTOUT,ADC123_IN2
PortA,PA3,,,,TIM5_CH4/TIM2_CH4,,,USART2_RX,,,,,,,,,EVENTOUT,ADC123_IN3
PortA,PA4,,,,,,SPI1_NSS,USART2_CK,,,,,,,,,EVENTOUT,ADC12_IN4
PortA,PA5,,,,,,SPI1_SCK,,,,,,,,,,EVENTOUT,ADC12_IN5
PortA,PA6,,TIM8_BKIN,,TIM3_CH1,,SPI1_MISO,,,,,,,,,,EVENTOUT,ADC12_IN6
PortA,PA7,,TIM8_CH1N,,TIM3_CH2,,SPI1_MOSI,,,,,,,,,,EVENTOUT,ADC12_IN7
PortA,PA8,RCC_MCO,TIM1_CH1,,,,,USART1_CK,,,,,,,,,EVENTOUT,
PortA,PA9,,TIM1_CH2,,,,,USART1_TX,,,,,,,,,EVENTOUT,
PortA,PA10,,TIM1_CH3,,,,,USART1_RX,,,,,,,,,EVENTOUT,
PortA,PA11,,TIM1_CH4,,,,,USART1_CTS,,CAN1_RX,USBDM,,,,,,EVENTOUT,
PortA,PA12,,TIM1_ETR,,,,,USART1_RTS,,CAN1_TX,USBDP,,,,,,EVENTOUT,
PortA,PA13,JTMS/SWDIO,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA14,JTCK/SWCLK,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA15,SYS_JTDI,,,,,SPI3_NSS,,,,,,,,,,EVENTOUT,
PortB,PB0,,TIM8_CH2N,,TIM3_CH3,,,,,,,,,,,,EVENTOUT,ADC12_IN8
PortB,PB1,,TIM8_CH3N,,TIM3_CH4,,,,,,,,,,,,EVENTOUT,ADC12_IN9
PortB,PB2,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB3,JTDO/TRACESWO,,,,,SPI3_SCK,,,,,,,,,,EVENTOUT,
PortB,PB4,JTRST,,,,,SPI3_MISO,,,,,,,,,,EVENTOUT,
PortB,PB5,,,,,I2C1_SMBA,SPI3_MOSI,,,,,,,,,,EVENTOUT,
PortB,PB6,,,,TIM4_CH1,I2C1_SCL,,,,,,,,,,,EVENTOUT,
PortB,PB7,,,,TIM4_CH2,I2C1_SDA,,,,,,,,,,,EVENTOUT,
PortB,PB8,,,,TIM4_CH3,,,,,,,SDIO_D4,,,,,EVENTOUT,
PortB,PB9,,,,TIM4_CH4,,,,,,,SDIO_D5,,,,,EVENTOUT,
PortB,PB10,,,,,I2C2_SCL,,USART3_TX,,,,,,,,,EVENTOUT,
PortB,PB11,,,,,I2C2_SDA,,USART3_RX,,,,,,,,,EVENTOUT,
PortB,PB12,,TIM1_BKIN,,,I2C2_SMBA,SPI2_NSS,USART3_CK,,,,,,,,,EVENTOUT,
PortB,PB13,,TIM1_CH1N,,,,SPI2_SCK,USART3_CTS,,,,,,,,,EVENTOUT,
PortB,PB14,,TIM1_CH2N,,,,SPI2_MISO,USART3_RTS,,,,,,,,,EVENTOUT,
PortB,PB15,,TIM1_CH3N,,,,SPI2_MOSI,,,,,,,,,,EVENTOUT,
PortC,PC0,,,,,,,,,,,,,,,,EVENTOUT,ADC123_IN10
PortC,PC1,,,,,,,,,,,,,,,,EVENTOUT,ADC123_IN11
PortC,PC2,,,,,,,,,,,,,,,,EVENTOUT,ADC123_IN12
PortC,PC3,,,,,,,,,,,,,,,,EVENTOUT,ADC123_IN13
PortC,PC4,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN14
PortC,PC5,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN15
PortC,PC6,,TIM8_CH1,,,,,,,,,SDIO_D6,,,,,EVENTOUT,
PortC,PC7,,TIM8_CH2,,,,,,,,,SDIO_D7,,,,,EVENTOUT,
PortC,PC8,,TIM8_CH3,,,,,,,,,SDIO_D0,,,,,EVENTOUT,
PortC,PC9,,TIM8_CH4,,,,,,,,,SDIO,,,,,EVENTOUT,
PortC,PC10,,,,,,,,,,,SDIO_D2,,,,,EVENTOUT,
PortC,PC11,,,,,,,,,,,SDIO_D3,,,,,EVENTOUT,
PortC,PC12,,,,,,,,,,,SDIO_CK,,,,,EVENTOUT,
PortC,PC13,RTC_OUT/RTC_TAMPER,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC14,RCC_OSC32_IN,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC15,RCC_OSC32_OUT,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD0,RCC_OSC_IN,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD1,RCC_OSC_OUT,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD2,,,,TIM3_ETR,,,,,,,SDIO_CMD,,,,,EVENTOUT,
PortD,PD3,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD4,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD5,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD6,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD7,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD8,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD9,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD10,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD11,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD12,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD13,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD14,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD15,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE0,,,,TIM4_ETR,,,,,,,,,,,,EVENTOUT,
PortE,PE1,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE2,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE3,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE4,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE5,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE6,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE7,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE8,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE9,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE10,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE11,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE12,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE13,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE14,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE15,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF0,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF1,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF2,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF3,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF4,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF5,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF6,,,,,,,,,,,,,,,,EVENTOUT,ADC3_IN4
PortF,PF7,,,,,,,,,,,,,,,,EVENTOUT,ADC3_IN5
PortF,PF8,,,,,,,,,,,,,,,,EVENTOUT,ADC3_IN6
PortF,PF9,,,,,,,,,,,,,,,,EVENTOUT,ADC3_IN7
PortF,PF10,,,,,,,,,,,,,,,,EVENTOUT,ADC3_IN8
PortF,PF11,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF12,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF13,,,,,,,,,,,,,,,,EVENTOUT,
